Trafikkmengde
101.0
79.0
56.0
45.0
41.0
25.0
23.0
14.0
6.0
7.0
1.0
2.0
5.0
4.0
36.0
84.0
68.0
44.0
35.0
44.0
49.0
68.0
71.0
125.0
104.0
60.0
42.0
46.0
14.0
17.0
13.0
13.0
7.0
5.0
2.0
3.0
6.0
4.0
5.0
5.0
10.0
18.0
14.0
12.0
12.0
13.0
21.0
14.0
13.0
14.0
9.0
4.0
10.0
8.0
9.0
4.0
8.0
8.0
3.0
3.0
2.0
2.0
7.0
4.0
6.0
10.0
11.0
16.0
21.0
33.0
33.0
35.0
25.0
34.0
24.0
13.0
13.0
9.0
8.0
4.0
2.0
3.0
1.0
1.0
6.0
7.0
38.0
81.0
91.0
29.0
40.0
45.0
38.0
40.0
52.0
122.0
108.0
69.0
54.0
46.0
24.0
33.0
16.0
9.0
8.0
4.0
1.0
1.0
5.0
4.0
23.0
57.0
63.0
33.0
18.0
27.0
15.0
12.0
17.0
87.0
84.0
56.0
31.0
35.0
25.0
18.0
15.0
8.0
4.0
3.0
4.0
3.0
3.0
7.0
38.0
60.0
73.0
39.0
21.0
21.0
34.0
29.0
50.0
103.0
109.0
81.0
61.0
39.0
21.0
33.0
20.0
16.0
7.0
9.0
31.0
70.0
82.0
37.0
26.0
26.0
20.0
43.0
46.0
107.0
95.0
68.0
52.0
46.0
42.0
36.0
14.0
25.0
6.0
4.0
2.0
1.0
7.0
7.0
23.0
43.0
52.0
29.0
27.0
14.0
11.0
23.0
33.0
61.0
65.0
26.0
32.0
22.0
24.0
8.0
7.0
8.0
6.0
8.0
1.0
1.0
2.0
3.0
10.0
11.0
12.0
23.0
27.0
64.0
38.0
32.0
47.0
53.0
45.0
43.0
35.0
23.0
29.0
17.0
6.0
13.0
6.0
6.0
4.0
3.0
2.0
1.0
0.0
113.0
106.0
48.0
44.0
43.0
34.0
41.0
62.0
143.0
137.0
91.0
54.0
63.0
44.0
44.0
24.0
11.0
9.0
7.0
0.0
2.0
4.0
8.0
44.0
114.0
127.0
58.0
50.0
40.0
39.0
55.0
68.0
177.0
168.0
76.0
74.0
68.0
53.0
46.0
30.0
10.0
6.0
5.0
2.0
1.0
5.0
5.0
43.0
103.0
124.0
61.0
63.0
59.0
52.0
58.0
85.0
156.0
144.0
84.0
62.0
57.0
37.0
36.0
24.0
22.0
7.0
3.0
0.0
0.0
3.0
7.0
45.0
77.0
92.0
60.0
31.0
35.0
31.0
42.0
61.0
101.0
108.0
67.0
57.0
51.0
47.0
29.0
26.0
13.0
8.0
3.0
0.0
1.0
8.0
4.0
28.0
85.0
104.0
49.0
40.0
45.0
53.0
38.0
69.0
151.0
101.0
67.0
57.0
36.0
32.0
24.0
11.0
15.0
8.0
8.0
1.0
1.0
6.0
4.0
9.0
8.0
6.0
12.0
20.0
22.0
21.0
36.0
40.0
45.0
28.0
25.0
28.0
21.0
10.0
16.0
12.0
14.0
2.0
4.0
2.0
4.0
2.0
6.0
6.0
5.0
4.0
8.0
15.0
32.0
44.0
43.0
29.0
27.0
47.0
48.0
40.0
28.0
37.0
26.0
23.0
9.0
8.0
1.0
0.0
1.0
2.0
12.0
47.0
176.0
213.0
91.0
36.0
38.0
46.0
45.0
92.0
237.0
222.0
